,glac_name,glacier_id,year,surging,probability,training
0,Monacobreen,G012697E79319N,2019,1,0.5495112692890027,1
1,Monacobreen,G012697E79319N,2020,1,0.8980733177462052,1
2,Monacobreen,G012697E79319N,2021,1,0.9229530504993306,1
3,Monacobreen,G012697E79319N,2022,1,0.8982263956732783,1
4,Monacobreen,G012697E79319N,2023,1,0.8767809974639619,1
5,Vonbreen,G013470E79201N,2021,1,0.6626685809718363,
6,Blomstrandbreen,G012468E79076N,2019,1,0.8178124749597936,
7,Blomstrandbreen,G012468E79076N,2020,1,0.8696375762135891,
8,Blomstrandbreen,G012468E79076N,2021,1,0.8336825004206041,
9,Blomstrandbreen,G012468E79076N,2022,1,0.7412018960100505,
10,Blomstrandbreen,G012468E79076N,2023,1,0.8538052315673145,
11,Infantfonna,G013248E78855N,2023,1,0.653391929683654,
12,Uversbreen,G012520E78787N,2019,1,0.8244880792202702,
13,Uversbreen,G012520E78787N,2020,1,0.8140899042957797,
14,Uversbreen,G012520E78787N,2021,1,0.8173402739082194,
15,Uversbreen,G012520E78787N,2022,1,0.7951721553780307,
16,Uversbreen,G012520E78787N,2023,1,0.7044911367836966,
17,Aavatsmarkbreen,G012307E78697N,2019,1,0.9335594336535478,
18,Aavatsmarkbreen,G012307E78697N,2020,1,0.9542083403292985,
19,Aavatsmarkbreen,G012307E78697N,2021,1,0.849083790767048,
20,Aavatsmarkbreen,G012307E78697N,2022,1,0.913079623158105,
21,Aavatsmarkbreen,G012307E78697N,2023,1,0.8795266176018524,
22,Konowbreen,G012918E78620N,2022,1,0.5446524620380976,
23,Konowbreen,G012918E78620N,2023,1,0.6872664024992301,
24,Dahlbreen,G012670E78658N,2021,1,0.5279282088444528,
25,Dahlbreen,G012670E78658N,2022,1,0.6780668936983569,
26,Dahlbreen,G012670E78658N,2023,1,0.6773217189127865,
27,Osbornebreen,G013139E78668N,2020,1,0.9789701413397903,1
28,Osbornebreen,G013139E78668N,2021,1,0.9924340282593223,1
29,Osbornebreen,G013139E78668N,2022,1,0.9997777777777778,1
30,Osbornebreen,G013139E78668N,2023,1,0.9994920634920635,1
31,Osbornebreen,G013271E78658N,2021,1,0.5326223167840312,
32,Osbornebreen,G013271E78658N,2022,1,0.61904274483237,
33,Esmarkbreen,G013747E78362N,2020,1,0.7411347499915243,
34,Esmarkbreen,G013747E78362N,2021,1,0.8295408857339226,
35,Esmarkbreen,G013747E78362N,2022,1,0.7996686778365147,
36,Esmarkbreen,G013747E78362N,2023,1,0.8086708507758121,
37,Wahlenbergbreen,G013901E78579N,2019,1,0.9748826786102327,
38,Wahlenbergbreen,G013901E78579N,2020,1,0.9504302294017982,
39,Wahlenbergbreen,G013901E78579N,2021,1,0.9598454994227155,
40,Wahlenbergbreen,G013901E78579N,2022,1,0.9899798737697344,
41,Wahlenbergbreen,G013901E78579N,2023,1,0.9944695711122955,
42,Lisbetbreen,G014909E79069N,2021,1,0.6434328971606093,
43,Tunabreen,G017497E78572N,2019,1,0.6335407742744129,1
44,Tunabreen,G017497E78572N,2020,1,0.7041424693537766,1
45,Tunabreen,G017497E78572N,2022,1,0.6107338211241038,1
46,Vestre Gronfjordbreen,G014257E77913N,2023,1,0.6461045250707202,
47,,G014123E77878N,2023,1,0.560079861485557,
48,Paulabreen,G017399E77693N,2022,1,0.5296613108968615,
49,Paulabreen,G017399E77693N,2023,1,0.5242658334763919,
50,Morsjnevbreen / Strongbreen,G017697E77678N,2019,1,0.9574618711928444,
51,Morsjnevbreen / Strongbreen,G017697E77678N,2020,1,0.9751117653727386,1
52,Morsjnevbreen / Strongbreen,G017697E77678N,2021,1,0.9860616371395083,1
53,Morsjnevbreen / Strongbreen,G017697E77678N,2022,1,0.9789343265502009,1
54,Morsjnevbreen / Strongbreen,G017697E77678N,2023,1,0.9654854182914224,1
55,Kvalbreen,G018031E77579N,2019,1,0.5958671752283815,
56,Kvalbreen,G018031E77579N,2020,1,0.7062886497006654,1
57,Kvalbreen,G018031E77579N,2021,1,0.9975742240215926,
58,Markhambreen,G017096E77164N,2019,1,1.0,1
59,Markhambreen,G017096E77164N,2020,1,0.9976818516880437,1
60,Markhambreen,G017096E77164N,2021,1,0.9439620780706681,1
61,Markhambreen,G017096E77164N,2023,1,0.986349838136977,1
62,Vasilievbreen,G016898E76901N,2019,1,0.9129567801692058,
63,Vasilievbreen,G016898E76901N,2020,1,0.8449534299604782,
64,Vasilievbreen,G016898E76901N,2022,1,0.6256478448597852,
65,Vasilievbreen,G016898E76901N,2023,1,0.8939264982117011,
66,Svalisbreen,G016777E76955N,2019,1,0.5734837783227803,1
67,Svalisbreen,G016777E76955N,2020,1,0.8787229979402055,1
68,Svalisbreen,G016777E76955N,2021,1,0.9147374210247543,1
69,Svalisbreen,G016777E76955N,2022,1,0.9714240383940911,1
70,Svalisbreen,G016777E76955N,2023,1,0.9876891962951584,1
71,Mendelejevbreen,G016557E76915N,2020,1,0.6744043197001953,
72,Mendelejevbreen,G016557E76915N,2021,1,0.6391071417644438,
73,Mendelejevbreen,G016557E76915N,2022,1,0.6401413821373515,
74,Mendelejevbreen,G016557E76915N,2023,1,0.6761838242699462,
75,Olsokbreen,G016482E76791N,2019,1,0.5936588795826637,
76,Olsokbreen,G016482E76791N,2020,1,0.7328139065116193,
77,Olsokbreen,G016482E76791N,2021,1,0.6897233137648295,
78,Olsokbreen,G016482E76791N,2022,1,0.8396597229399312,
79,Olsokbreen,G016482E76791N,2023,1,0.8552382713164812,
80,Vasilievbreen,G016757E76881N,2021,1,0.7927519604057945,
81,Vasilievbreen,G016757E76881N,2022,1,0.794877309526256,
82,Vasilievbreen,G016757E76881N,2023,1,0.5466460203474149,
83,Recherchebreen,G015037E77377N,2019,1,0.6230193146804165,1
84,Recherchebreen,G015037E77377N,2020,1,0.9233521707571409,1
85,Recherchebreen,G015037E77377N,2021,1,0.8568868726350217,1
86,Recherchebreen,G015037E77377N,2022,1,0.8993836245995489,1
87,Recherchebreen,G015037E77377N,2023,1,0.9296451968275787,1
88,Sveitsarfonna,G015502E77425N,2019,1,0.9750291785941965,
89,Sveitsarfonna,G015502E77425N,2020,1,0.6632688839633226,
90,Penckbreen,G015616E77394N,2019,1,0.9928740740740741,1
91,Penckbreen,G015616E77394N,2020,1,0.9907805373058315,1
92,Penckbreen,G015616E77394N,2021,1,0.9920852992105933,1
93,Penckbreen,G015616E77394N,2022,1,0.9894749817502758,1
94,Penckbreen,G015616E77394N,2023,1,0.9923443722943723,1
95,Zawadzkibreen,G015857E77338N,2019,1,0.8486536700330973,
96,Zawadzkibreen,G015857E77338N,2020,1,0.8585784571149968,
97,Zawadzkibreen,G015857E77338N,2021,1,0.8655102303097658,
98,Zawadzkibreen,G015857E77338N,2022,1,0.8222960044389271,
99,Zawadzkibreen,G015857E77338N,2023,1,0.8237436746690212,
100,Polakkbreen,G016187E77275N,2019,1,0.9902435151604896,
101,Polakkbreen,G016187E77275N,2020,1,0.9280442856540795,
102,Polakkbreen,G016187E77275N,2021,1,0.9886550908718365,
103,Polakkbreen,G016187E77275N,2022,1,0.9886550908718365,
104,Polakkbreen,G016187E77275N,2023,1,0.9827779477043708,
105,Liestølbreen,G016915E77433N,2022,1,0.9251364469815024,
106,Liestølbreen,G016915E77433N,2023,1,0.9689245900399586,1
107,Dobrowolskibreen,G016634E77343N,2019,1,0.7218111739269346,
108,Dobrowolskibreen,G016634E77343N,2020,1,0.7197994472325545,
109,Dobrowolskibreen,G016634E77343N,2021,1,0.7152722136705307,
110,Dobrowolskibreen,G016634E77343N,2022,1,0.730610888517216,
111,Dobrowolskibreen,G016634E77343N,2023,1,0.6834366203538662,
112,Nathorstbreen,G016633E77290N,2019,1,0.9977647298235534,1
113,Nathorstbreen,G016633E77290N,2020,1,0.9929991924283719,1
114,Nathorstbreen,G016633E77290N,2021,1,0.9698803380714075,1
115,Nathorstbreen,G016633E77290N,2022,1,0.9866502102057904,1
116,Nathorstbreen,G016633E77290N,2023,1,0.9738806210271445,1
117,Nuddbreen / Strongbreen,G017333E77537N,2023,1,0.5318047498116993,
118,Doktorbreen,G016885E77574N,2021,1,0.5429832613597371,
119,Doktorbreen,G016885E77574N,2022,1,0.6748063454020871,
120,Doktorbreen,G016885E77574N,2023,1,0.6562941525472487,
121,Arnesenbreen,G018098E77802N,2019,1,0.9682712316130037,1
122,Ingerbreen,G018231E77758N,2021,1,0.615295895071099,
123,Innifonna,G018079E77679N,2020,1,0.5278272083241564,
124,Richardsbreen,G017893E77712N,2019,1,0.5293521832228455,
125,Richardsbreen,G017893E77712N,2020,1,0.5392713028620293,
126,Mittag-Lefflerbreen,G017025E78797N,2022,1,0.6458964991102507,
127,Chydeniusbreen,G017693E79137N,2022,1,0.5298873391539849,
128,Kantbreen,G017730E79297N,2020,1,0.5364318970791321,
129,Sonklarbreen,G020098E78757N,2021,1,0.6192262344321,1
130,Sonklarbreen,G020098E78757N,2022,1,0.6103175233704705,1
131,Sonklarbreen,G020098E78757N,2023,1,0.6257903942901188,1
132,Ganskijbreen,G020757E78746N,2019,1,0.7157628630378932,1
133,Ganskijbreen,G020757E78746N,2020,1,0.6844030366288982,1
134,Ganskijbreen,G020757E78746N,2021,1,0.7685690798060673,
135,Petermannbreen,G018419E78498N,2020,1,0.574764723709319,
136,Petermannbreen,G018419E78498N,2022,1,0.7111328426160142,
137,Petermannbreen,G018419E78498N,2023,1,0.7620870731514391,
138,Negribreen,G018042E78675N,2019,1,0.6400683344633358,1
139,Negribreen,G018042E78675N,2020,1,0.8443730499009009,1
140,Negribreen,G018042E78675N,2021,1,0.8631098088357121,1
141,Negribreen,G018042E78675N,2022,1,0.8566629539793011,1
142,Negribreen,G018042E78675N,2023,1,0.7887576089509803,1
143,Sefströmbreen,G013819E78747N,2021,1,0.5572680944087637,
144,Sefströmbreen,G013819E78747N,2022,1,0.5842080158664189,
145,Sefströmbreen,G013819E78747N,2023,1,0.5893751708785492,
146,,G012186E79547N,2019,1,0.7741456572250678,
147,,G012186E79547N,2023,1,0.8706494278123069,
148,Smeerenburgbreen,G011600E79552N,2023,1,0.5703352441557792,0
149,Svitjodbreen,G011686E79700N,2019,1,0.5457089480495759,
150,Svitjodbreen,G011686E79700N,2021,1,0.5651587423175287,0
151,Svitjodbreen,G011686E79700N,2023,1,0.5853060830702301,0
152,,G011663E79770N,2019,1,0.5483261204799925,
153,Lilliehøøkbreen,G011860E79450N,2023,1,0.8080300267049461,
154,Søre Franklinbreen,G019797E80009N,2020,1,0.5420902284991326,
155,Søre Franklinbreen,G019797E80009N,2022,1,0.5895682231440966,
156,,G020164E80193N,2020,1,0.5515665020687501,
157,Bodleybreen,G021502E79897N,2021,1,0.6140505708711896,
158,Bodleybreen,G021502E79897N,2023,1,0.5285258133189912,
159,"Austfonna, -",G026669E79935N,2019,1,0.604836918908633,
160,"Austfonna, -",G026669E79935N,2022,1,0.5280964926732523,
161,"Austfonna, -",G026458E79881N,2019,1,0.5757098624957122,
162,"Austfonna, -",G026458E79881N,2020,1,0.9404256642166995,
163,"Austfonna, -",G026458E79881N,2021,1,0.9543696163861235,
164,"Austfonna, -",G026458E79881N,2022,1,0.8947218135958929,
165,"Austfonna, -",G026458E79881N,2023,1,0.9533111231769201,
166,"Austfonna, -",G024340E79634N,2019,1,0.9749992556090852,1
167,"Austfonna, -",G024340E79634N,2020,1,0.9733925272497255,1
168,"Austfonna, -",G024340E79634N,2021,1,0.9758791396139694,1
169,"Austfonna, -",G024340E79634N,2022,1,0.9652886634234932,1
170,"Austfonna, -",G024340E79634N,2023,1,0.952000066932265,1
171,"Austfonna, -",G024396E79406N,2019,1,0.9438436872605832,
172,"Austfonna, -",G024396E79406N,2020,1,0.9375860658059476,
173,"Austfonna, -",G024396E79406N,2021,1,0.950273978886887,
174,"Austfonna, -",G024396E79406N,2022,1,0.9524413367735349,
175,"Austfonna, -",G024396E79406N,2023,1,0.9529781333103313,
176,Freemanbreen,G021590E78354N,2023,1,0.5382755682956225,
177,Besselsbreen,G021460E78472N,2021,1,0.8429366611504978,
178,Besselsbreen,G021460E78472N,2022,1,0.6383220901864546,
179,Besselsbreen,G021460E78472N,2023,1,0.623598264406797,
180,Albrechtbreen,G023101E77888N,2021,1,0.5424049892131216,
181,Albrechtbreen,G023101E77888N,2022,1,0.6892736061873117,
182,Albrechtbreen,G023101E77888N,2023,1,0.652428994451068,
183,Seidbreen,G022918E77824N,2023,1,0.7559050215469809,
184,Gandbreen N,G023062E77750N,2020,1,0.5753253208597048,
185,Gandbreen N,G023062E77750N,2023,1,0.5373177335964059,
186,Gandbreen S,G023134E77724N,2019,1,0.5622882700152962,
187,Deltabreen,G023294E77648N,2020,1,0.5910500200316883,
188,Deltabreen,G023294E77648N,2021,1,0.5657773766395191,
189,Deltabreen,G023294E77648N,2022,1,0.5284993155774546,
190,Deltabreen,G023294E77648N,2023,1,0.5465678373446139,
191,Kong Johans Bre,G023592E77662N,2019,1,0.6714585150887665,
192,Kong Johans Bre,G023592E77662N,2020,1,0.7028202778826588,
193,Kong Johans Bre,G023592E77662N,2021,1,0.8050076978666576,
194,,G023016E77464N,2019,1,0.5949617184029214,
195,,G022867E77386N,2022,1,0.6862019176897076,
196,Veidebreen,G022129E77665N,2022,1,0.8630983233952101,
197,Veidebreen,G022129E77665N,2023,1,0.7654656417650724,
198,Kuhrbreen,G021849E77617N,2019,1,0.5793551786315994,
199,Kuhrbreen,G021849E77617N,2022,1,0.580602611381272,0
200,Kuhrbreen,G021849E77617N,2023,1,0.6794366016842049,
201,Stonebreen,G023608E77828N,2019,1,0.8199601822516722,1
202,Stonebreen,G023608E77828N,2020,1,0.8306248309059253,1
203,Stonebreen,G023608E77828N,2021,1,0.8420796412551768,1
204,Stonebreen,G023608E77828N,2022,1,0.9086294899739814,1
205,Stonebreen,G023608E77828N,2023,1,0.8343362807379148,1
206,Austre Torellbreen,G015444E77229N,2022,1,0.7031242350003805,
207,Austre Torellbreen,G015444E77229N,2023,1,0.5795849948627809,
208,Paierlbreen,G015696E77195N,2022,1,0.5475205912736479,
209,Paierlbreen,G015696E77195N,2023,1,0.6914996755418843,
210,Mülbacherbreen,G015900E77167N,2020,1,0.6495126644885495,
211,Mülbacherbreen,G015900E77167N,2021,1,0.7056482967304791,
212,Mülbacherbreen,G015900E77167N,2022,1,0.660616970986484,
213,Mülbacherbreen,G015900E77167N,2023,1,0.5752543113224716,
214,Hornbreen,G016807E77171N,2022,1,0.5301743944873021,
215,Borebreen,G013724E78479N,2023,1,0.7253004475465884,
